screening_id,pmid,title,year,journal,doi,corneal_layer,strict_retrieval_score,strict_retrieval_reason,strict_final_status,full_text_status,pdf_available,source_checked,pdf_filename,retrieval_date,retrieval_notes,extraction_ready,reason_not_extraction_ready
PUBMED_0805,39101028,Oriented cellulose hydrogel: Directed tissue regeneration for reducing corneal leukoplakia and managing fungal corneal ulcers.,2024,Bioactive materials,10.1016/j.bioactmat.2024.07.008,stroma,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,Final core,not_checked,not_checked,,,,,not_checked,
PUBMED_0812,39169887,Granular polyrotaxane microgels as injectable hydrogels for corneal tissue regeneration.,2024,Biomaterials science,10.1039/d4bm00409d,stroma,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,Final core,not_checked,not_checked,,,,,not_checked,
PUBMED_0818,39218556,Triple-crosslinked double-network alginate/dextran/dendrimer hydrogel with tunable mechanical and adhesive properties: A potential candidate for sutureless keratoplasty.,2024,Carbohydrate polymers,10.1016/j.carbpol.2024.122538,stroma,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,Final core,not_checked,not_checked,,,,,not_checked,
PUBMED_0871,39819884,Digital light processing 3D bioprinting of biomimetic corneal stroma equivalent using gelatin methacryloyl and oxidized carboxymethylcellulose interpenetrating network hydrogel.,2025,Biofabrication,10.1088/1758-5090/adab27,stroma,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,Final core,not_checked,not_checked,,,,,not_checked,
PUBMED_0947,40613723,A graphene oxide/niobium carbide MXene composite-based functional nanocomposite scaffold for artificial corneas.,2025,Nanoscale,10.1039/d5nr01312g,stroma,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,Final core,not_checked,not_checked,,,,,not_checked,
PUBMED_0990,41073348,Native Bio-Lenticules Mediated Rapamycin Delivery for Corneal Immunomodulation and Tissue Repair Promotion.,2025,ACS biomaterials science & engineering,10.1021/acsbiomaterials.5c01309,stroma,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,Final core,not_checked,not_checked,,,,,not_checked,
PUBMED_1038,41548128,In Vivo Evaluation of Injected and Bioprinted Hyaluronic Acid-Based Bioink in Corneal Stromal Pocket.,2026,Macromolecular bioscience,10.1002/mabi.202500555,stroma,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,Final core,not_checked,not_checked,,,,,not_checked,
PUBMED_1068,41947731,Functional 3D bioprinting with GelMA/CMCh bioinks: a supportive microenvironment for stromal keratocyte maintenance and potential corneal stromal repair.,2026,Journal of materials chemistry. B,10.1039/d5tb02459e,stroma,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,Final core,not_checked,not_checked,,,,,not_checked,
PUBMED_0106,30339045,Evaluation of the Suitability of Biocompatible Carriers as Artificial Transplants Using Cultured Porcine Corneal Endothelial Cells.,2019,Current eye research,10.1080/02713683.2018.1536215,stroma,14,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely,Final core,not_checked,not_checked,,,,,not_checked,
PUBMED_0152,30995622,Shear-induced alignment of collagen fibrils using 3D cell printing for corneal stroma tissue engineering.,2019,Biofabrication,10.1088/1758-5090/ab1a8b,stroma,14,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely,Final core,not_checked,not_checked,,,,,not_checked,
